0,43.02,22.26
0,24.92,21.5
0,58.17,20
0,15.55,25.9
0,24.8,21.79
0,73.2,27.6
0,7.2,22.2
0,16.23,22.2
0,22.24,22.5
0,26.1,24
0,26.78,21.5
0,24.88,21.7
0,61.48,19.39
0,8.77,24
0,53.72,20.94
0,25.2,20.7
0,87.2,191.88
0,95.96,246.91
0,76.97,41.83
0,68.26,19.28
0,7.28,22.84
0,22.77,20.89
0,69.34,20.09
0,26.3,24.3
0,22.16,22.1
0,16.24,25.72
0,25.25,20.95
0,54.56,20.9
0,25.94,21.11
0,55.45,20.5
0,89.96,213.84
0,44.71,22.2
0,24.95,21.5
0,65.44,19.2
0,25.3,20.84
0,83.64,146.37
0,25.36,20.9
0,59.33,19.61
0,62.68,19.2
0,76.11,36.31
0,70.99,22.1
0,90.74,218.55
0,25.01,21.5
0,7.13,22.85
0,22.5,20.8
0,7.61,22.7
0,60.78,19.42
0,8.63,22.2
0,25.26,20.9
0,25.65,21.1
0,71.38,24.2
0,85.89,172.42
0,82.61,127.7
0,17.29,22.08
0,25.4,20.8
0,56.26,20.21
0,25.1,20.7
0,21.74,25.3
0,7.97,22.2
0,57.91,19.8
0,15.94,21.94
0,25.01,21.5
0,26.54,21.21
0,80.61,73.05
0,86.48,182.75
0,79.3,59.34
0,24.99,21.5
0,26.73,21.41
0,16.39,22.1
0,20.3,25.3
0,88.1,200.18
0,53.33,21.3
0,92.22,228.19
0,23.78,20.7
0,22.57,22
0,23.47,20.7
0,22.12,22.2
0,8.06,23.11
0,24.87,21.5
0,64.29,19.2
0,22.89,20.7
0,25.22,20.7
0,25.32,20.7
0,7.5,22.2
0,91.52,223.46
0,48.08,22.1
0,17.8,25.3
0,68.87,19.8
0,72.12,24.94
0,67.36,19.2
0,26.64,21.4
0,15.72,22.04
0,22.02,22.29
0,74.2,30.48
0,50.37,21.74
0,22.36,22.02
0,22.97,20.7
0,22.15,22.13
0,16.99,25.3
0,25.98,23.9
0,63.48,19.2
0,49.83,21.9
0,25.17,25.3
0,25.13,21
0,60.41,19.5
0,24.01,21.9
0,17.08,22
0,22.98,22.63
0,24.97,21.5
0,22.66,20.79
0,26.2,24.2
0,26.21,21.2
1,19.5,7.11
1,11.34,4.1
1,34.1,4.6
1,36.76,2.51
1,11.87,4.1
1,7.91,5.27
1,11.12,4.1
1,10.6,2.1
1,67.38,2.7
1,33.11,4.67
1,0.2,4.7
1,-1.05,2.24
1,6.11,8.39
1,-8.78,2.6
1,11.9,4.1
1,13.94,6.4
1,-1.13,2.69
1,12.02,4.1
1,10.1,2.2
1,25.61,3.7
1,167.24,3
1,0.2,2.8
1,8.54,2.8
1,34.17,4.6
1,143.68,2.25
1,-0.3,2.34
1,33.46,4.6
1,12.6,3.5
1,11.98,4.1
1,13.59,3.5
1,34.08,3.9
1,9.56,3
1,10.45,3.63
1,0.61,2.22
1,7.67,4.4
1,169.17,2.27
1,10.02,5.23
1,-2.38,3.06
1,9.71,4.07
1,10.69,2.6
1,-29.63,3.7
1,10.61,4.1
1,9.68,4
1,168.09,3
1,6.93,3.13
1,159.52,3.1
1,159.05,4.9
1,11.15,2.8
1,151.24,4.9
1,11.2,4.1
1,14.18,3.5
1,25.04,3.7
1,10.27,3.81
1,-0.74,2.46
1,8.63,4.9
1,14.2,3.81
1,3.27,2
1,10,2.2
1,10.97,4.1
1,0.65,3.25
1,14.02,6.4
1,9.64,3.82
1,-27.55,3.7
1,10.33,4.1
1,26.5,3.7
1,1.27,2.67
1,10.09,4.1
1,161.52,3.1
1,-1.3,3.3
1,12.11,4.1
1,-7.03,3.04
1,0.7,2.45
1,33.81,4.6
1,13.16,3.5
1,9.34,2.86
1,10.94,2.73
1,135.77,2.89
1,24.74,3.7
1,14.03,6.4
1,11.6,4.1
1,33.5,2.81
1,8.82,2.12
1,160.44,3.1
1,170.93,3.1
1,0.52,2.12
1,-1.17,2.91
1,8.14,6
1,11.82,4.1
1,-30.22,3.7
1,168.74,2.77
1,10.79,4.1
1,-0.84,2.24
1,6.71,4.28
1,34.18,4.2
1,3.17,3.7
1,13.37,3.5
1,-31,3.7
1,25.69,3.7
1,-29.17,3.7
1,0.48,2.06
1,160.1,3.1
1,167.78,3.1
1,9.73,3.04
1,7.14,3.4
1,128.19,3.48
1,0.8,2.4
1,152.96,3
1,0.49,2.85
1,9.04,2.64
1,0.2,4.35
1,14.1,3.5
1,-1.14,2.23
